BIESZCZADY - BW.03; Dyszowa (719 m);6;4;BZ;z Komańczy
BIESZCZADY - BW.03; Dyszowa (719 m);7;5;BZ czerwony;ze Schroniska PTTK Komańczy-Letniska
BIESZCZADY - BW.03; Dyszowa (719 m);13;10;BZ;z Rzepedzi
BIESZCZADY - BW.03; Dyszowa (719 m);7;4;BZ;z Prełuk
BIESZCZADY - BW.03; Dyszowa (719 m);5;3;BZ;z Duszatyna
BIESZCZADY - BW.03; Dyszowa (719 m);2;2;BZ;z Jasieniowej (735 m)
BIESZCZADY - BW.03; Dyszowa (719 m);5;3;BZ;z Radoszyc (BW.02)
BIESZCZADY - BW.03;Prełuki;3;3;czerwony;z Komańczy
BIESZCZADY - BW.03;Prełuki;3;3;czerwony;z Duszatyna
BIESZCZADY - BW.03;Prełuki;4;4;czerwony;ze Schroniska PTTK Komańczy-Letniska
BIESZCZADY - BW.03;Mików;3;3;BZ;z Duszatyna
BIESZCZADY - BW.03;Mików;6;5;BZ;ze Smolnika
BIESZCZADY - BW.03;Mików;8;7;BZ;z Nowego Łupkowa (PKP)
BIESZCZADY - BW.03;Mików;6;6;BZ;z Radoszyc (BW.02)
BIESZCZADY - BW.03;Mików;4;2;BZ;z Jasieniowej (735 m)
BIESZCZADY - BW.03;Krasna (658 m);3;2;BZ;z Jasieniowej (735 m)
BIESZCZADY - BW.03;Krasna (658 m);4;2;BZ;z Mikowa
BIESZCZADY - BW.03;Krasna (658 m);6;4;BZ;ze Smolnika
BIESZCZADY - BW.03;Krasna (658 m);6;4;BZ;z Nowego Łupkowa (PKP)
BIESZCZADY - BW.03;Nowy Łupków (PKP);5;3;BZ niebieski;z Terpiaka (745 m) (BW.02)
BIESZCZADY - BW.03;Nowy Łupków (PKP);6;4;niebieski;z Siwakowskiej Doliny (689 m) (BW.02)
BIESZCZADY - BW.03;Wysoki Groń (905 m);15;12;czerwony;z Przełęczy Łupkowskiej (640 m) przez Koszarkę (794 m)
BIESZCZADY - BW.03;Wysoki Groń (905 m);14;8;BZ niebieski;z Łupkowa
BIESZCZADY - BW.03;Wysoki Groń (905 m);14;11;niebieski;z Nowego Łupkowa (PKP)
BIESZCZADY - BW.03;Wysoki Groń (905 m);8;5;BZ czerwony;z Woli Michowej
BIESZCZADY - BW.03;Wysoki Groń (905 m);9;6;żółty BZ czerwony;z Maniowa
BIESZCZADY - BW.03;Radoszowa (880 m);9;9;czerwony;z Wysokiego Gronia (905 m)
BIESZCZADY - BW.03;Radoszowa (880 m);3;1;czerwony;z Balnicy TPG
BIESZCZADY - BW.03;Maguryczne (884 m);7;3;BZ;ze Smolnika
BIESZCZADY - BW.03;Maguryczne (884 m);8;4;BZ;z Mikowa
BIESZCZADY - BW.03;Maguryczne (884 m);3;3;BZ;z Przełęczy Żebrak (816 m)
BIESZCZADY - BW.03;Przełęcz Żebrak (816 m);7;3;BZ;ze Smolnika
BIESZCZADY - BW.03;Przełęcz Żebrak (816 m);10;7;BZ;z Mikowa
BIESZCZADY - BW.03;Przełęcz Żebrak (816 m);8;5;BZ;z Rabe
BIESZCZADY - BW.03;Przełęcz Żebrak (816 m);9;6;BZ;z Woli Michowej
BIESZCZADY - BW.03;Dział (Hruń) (830 m);8;4;czerwony BZ;z Duszatyna
BIESZCZADY - BW.03;Dział (Hruń) (830 m);10;6;BZ;z Prełuk
BIESZCZADY - BW.03;Dział (Hruń) (830 m);5;4;niebieski;z Suliły (759 m)
BIESZCZADY - BW.03;Suliła (759 m);8;5;BZ;z Rzepedzi
BIESZCZADY - BW.03;Suliła (759 m);8;5;BZ niebieski;z Serednia Wielkiego
BIESZCZADY - BW.03;Suliła (759 m);12;8;BZ niebieski;ze Szczawnego - Kulasze
BIESZCZADY - BW.03;Suliła (759 m);6;3;BZ;z Kalnicy
BIESZCZADY - BW.03;Dział (603 m);9;7;niebieski;z Suliły
BIESZCZADY - BW.03;Dział (603 m);7;5;niebieski;z Morochowa
BIESZCZADY - BW.03;Jeziorka Duszatyńskie;6;4;czerwony;z Duszatyna
BIESZCZADY - BW.03;Jeziorka Duszatyńskie;5;2;czerwony;z Chryszczatej
BIESZCZADY - BW.03;Chryszczata (997 m);12;7;BZ czerwony;z Mikowa
BIESZCZADY - BW.03;Chryszczata (997 m);12;7;BZ niebieski;z Kalnicy
BIESZCZADY - BW.03;Chryszczata (997 m);5;3;niebieski;z Działu (Hruń) (830 m)
BIESZCZADY - BW.03;Chryszczata (997 m);17;11;BZ niebieski;z Rzepedzi przez Polanki
BIESZCZADY - BW.03;Chryszczata (997 m);12;10;niebieski;z Suliły (759 m)
BIESZCZADY - BW.03;Chryszczata (997 m);11;6;BZ niebieski;z Kalnicy przez Kamionki
BIESZCZADY - BW.03;Chryszczata (997 m);8;4;BZ;z Rabe
BIESZCZADY - BW.03;Chryszczata (997 m);6;4;czerwony;z Przełęczy Żebrak (816 m)
BIESZCZADY - BW.03;Kalnica;8;8;BZ  niebieski BZ;ze Szczawnego
BIESZCZADY - BW.03;Kalnica;5;4;BZ;z Roztok
BIESZCZADY - BW.03;Kalnica;12;11;BZ;z Rabe
BIESZCZADY - BW.03;Gabrów Wierch (742 m);5;3;BZ;z Kalnicy
BIESZCZADY - BW.03;Gabrów Wierch (742 m);7;4;BZ;z Seredniego Wielkiego
BIESZCZADY - BW.03;Gabrów Wierch (742 m);16;14;BZ;z Gruszki (583 m)
BIESZCZADY - BW.03;Gabrów Wierch (742 m);9;5;BZ;z Zachoczewia
BIESZCZADY - BW.03;Gabrów Wierch (742 m);8;4;BZ;z Mchowej
BIESZCZADY - BW.03;Gabrów Wierch (742 m);10;7;BZ;z Baligrodu
BIESZCZADY - BW.03;Gabrów Wierch (742 m);14;12;BZ;z Rabe
BIESZCZADY - BW.03;Gruszka (583 m);8;6;BZ zielony;z Czaszyna
BIESZCZADY - BW.03;Gruszka (583 m);13;10;zielony;z Zagórza
BIESZCZADY - BW.03;Gruszka (583 m);7;5;BZ zielony;z Tarnawy Górnej
BIESZCZADY - BW.03;Gruszka (583 m);7;5;zielony;z Leska
BIESZCZADY - BW.03;Gruszka (583 m);11;9;BZ;z Zachoczewia
BIESZCZADY - BW.03;Hoczew;11;9;BZ;z Gruszki (583 m)
BIESZCZADY - BW.03;Hoczew;7;5;zielony;z Czulni (576 m) BW.05
BIESZCZADY - BW.03;Biały Wierch (607 m);10;8;BZ;z Zahoczewia
BIESZCZADY - BW.03;Biały Wierch (607 m);9;7;BZ;z Hoczewa
BIESZCZADY - BW.03;Biały Wierch (607 m);9;6;BZ;ze Średniej Wsi
BIESZCZADY - BW.03;Biały Wierch (607 m);6;4;BZ;z Berezki
BIESZCZADY - BW.03;Biały Wierch (607 m);6;5;BZ;z Myczkowa
BIESZCZADY - BW.03;Biały Wierch (607 m);14;12;zielony;Myczków - Czulnia (576) przez Bereźnicę Niżną (BW.05)
BIESZCZADY - BW.03;Biały Wierch (607 m);2;1;BZ;z Woli Matiaszowej
BIESZCZADY - BW.03;Biały Wierch (607 m);8;6;BZ;z Polańczyka
BIESZCZADY - BW.03;Biały Wierch (607 m);10;8;zielony BZ;z Wołkowyji
BIESZCZADY - BW.03;Horbek;3;2;BZ;z Soliny
BIESZCZADY - BW.03;Horbek;3;2;BZ;z Myczkowa
BIESZCZADY - BW.03;Wierchy (635 m);6;4;zielony;z Myczkowa
BIESZCZADY - BW.03;Wierchy (635 m);4;3;BZ;z Brzeźnicy Wyżnej
BIESZCZADY - BW.03;Wierchy (635 m);5;4;zielony;z Wołkowyji
BIESZCZADY - BW.03;Markowska (748 m);8;5;BZ;z Baligrodu
BIESZCZADY - BW.03;Markowska (748 m);13;9;BZ;z Zahoczewia
BIESZCZADY - BW.03;Markowska (748 m);5;3;BZ;z Bereźnicy Wyżnej
BIESZCZADY - BW.03;Markowska (748 m);7;4;BZ;z Górzanki
BIESZCZADY - BW.03;Markowska (748 m);6;4;BZ;z Radziejowej
BIESZCZADY - BW.03;Berdo (890 m);8;4;BZ niebieski;z Bystrego
BIESZCZADY - BW.03;Berdo (890 m);10;6;niebieski;z Baligrodu
BIESZCZADY - BW.03;Berdo (890 m);5;2;BZ niebieski;z Radziejowej
BIESZCZADY - BW.03;Berdo (890 m);7;3;zielony;z Jabłonek
BIESZCZADY - BW.03;Rabe;6;5;BZ;z Bystrego
BIESZCZADY - BW.03;Rabe;9;8;czarny BZ;z Jabłonek
BIESZCZADY - BW.03;Radziejowa;4;3;BZ;ze Strężnicy
BIESZCZADY - BW.03;Radziejowa;6;2;BZ;z Korbani (894 m)
BIESZCZADY - BW.03;Durna (979 m);2;1;niebieski;z Berda (890 m)
BIESZCZADY - BW.03;Durna (979 m);7;6;BZ niebieski;z Korbani
BIESZCZADY - BW.03;Durna (979 m);11;7;BZ niebieski;z Górzanki
